# ----------------------------------------
# Pages and screens: Page path
# Account: Harper
# Property: harper.fast - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20251021
# End date: 20260204
Page path,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
/docs/developers/operations-api/custom-functions,113,45,2.511111111111111,12.977777777777778,166,3,0
/docs/developers/operations-api/jobs,113,36,3.138888888888889,20.38888888888889,146,1,0
/docs/4.3/developers/operations-api/components,111,8,13.875,4.375,197,0,0
/docs/reference/graphql,109,52,2.0961538461538463,43.84615384615385,197,6,0
/docs/reference/resources/migration,109,35,3.1142857142857143,41.77142857142857,187,7,0
/docs/reference/data-types,107,42,2.5476190476190474,22.523809523809526,185,4,0
/docs/reference/architecture,105,42,2.5,25.523809523809526,144,1,0
/fabric/managing-applications,104,34,3.0588235294117645,15.147058823529411,145,0,0
/docs/4.6/developers/operations-api/components,103,5,20.6,73,144,25,0
/docs/reference/components/extensions,102,41,2.4878048780487805,39.26829268292683,191,6,0
/docs/developers/security/configuration,98,48,2.0416666666666665,9.833333333333334,203,3,0
/docs/4.6,97,35,2.7714285714285714,13.085714285714285,159,3,0
/docs/developers/operations-api/sql-operations,96,39,2.4615384615384617,16.307692307692307,131,0,0
/docs/developers/security/users-and-roles,93,48,1.9375,28.145833333333332,174,2,0
/docs/administration/logging/standard-logging,91,25,3.64,32.68,131,1,0
/fabric/database-management,90,28,3.2142857142857144,15.5,109,1,0
/docs/administration/cloning,87,45,1.9333333333333333,18.91111111111111,162,7,0
/fabric/api-documentation,87,35,2.4857142857142858,20.37142857142857,140,0,0
/fabric/organization-management,87,25,3.48,12.56,95,3,0
/release-notes/v4-tucker/4.6.0,87,23,3.782608695652174,42.69565217391305,147,5,0
/release-notes/v4-tucker/4.6.14,87,17,5.117647058823529,14.470588235294118,125,0,0
/docs/deployments/upgrade-hdb-instance,84,27,3.111111111111111,36.96296296296296,122,4,0
/docs/developers/security/basic-auth,83,35,2.3714285714285714,13.714285714285714,121,2,0
/fabric/create-organization,83,27,3.074074074074074,6.296296296296297,93,0,0
/search,82,11,7.454545454545454,23.90909090909091,91,0,0
/docs/developers/operations-api/clustering-nats,80,32,2.5,51.03125,120,1,0
/docs/developers/operations-api/token-authentication,79,26,3.0384615384615383,13.423076923076923,110,0,0
/docs/reference/transactions,79,33,2.393939393939394,47.42424242424242,158,4,0
/docs/reference/limits,78,37,2.108108108108108,23.08108108108108,138,0,0
/release-notes/v4-tucker/4.5.0,78,37,2.108108108108108,17.513513513513512,175,5,0
/docs/developers/security/jwt-auth,77,36,2.138888888888889,24.25,138,1,0
/release-notes/v4-tucker/4.7.0,77,16,4.8125,25.1875,89,1,0
/docs/developers/security/certificate-management,76,37,2.054054054054054,34.2972972972973,150,0,0
/docs/reference/blob,76,39,1.9487179487179487,17,143,3,0
/docs/reference/components/configuration,74,38,1.9473684210526316,17.57894736842105,159,4,0
/docs/administration/logging/audit-logging,72,34,2.1176470588235294,13.941176470588236,137,6,0
/docs/developers/clustering,72,31,2.3225806451612905,9.064516129032258,82,0,0
/docs/reference/content-types,70,35,2,17.228571428571428,142,0,0
/fabric/create-account,70,32,2.1875,13,99,0,0
/release-notes/v4-tucker/4.5.29,70,10,7,17.5,74,0,0
/release-notes/v4-tucker/4.6.18,70,13,5.384615384615385,21.923076923076923,95,0,0
/docs/administration/logging,68,26,2.6153846153846154,16.307692307692307,96,1,0
/docs/reference/roles,62,23,2.6956521739130435,26.17391304347826,98,4,0
/docs/4.5,61,23,2.652173913043478,15,118,6,0
/docs/4.5/developers/operations-api/utilities,61,5,12.2,128.6,72,1,0
/docs/reference/storage-algorithm,61,29,2.103448275862069,22.517241379310345,123,4,0
/docs/4.6/deployments/configuration,60,11,5.454545454545454,45.63636363636363,97,0,0
/docs/developers/operations-api/registration,59,27,2.185185185185185,14.11111111111111,70,0,0
/docs/administration/compact,56,26,2.1538461538461537,25.192307692307693,110,0,0
/release-notes/v4-tucker/4.6.15,56,14,4,6.428571428571429,86,2,0
/docs/reference/resources/query-optimization,55,24,2.2916666666666665,29.041666666666668,87,4,0
/docs/administration/jobs,54,20,2.7,8.6,69,0,0
/release-notes/v4-tucker/4.7.3,54,18,3,14.722222222222221,79,2,0
/docs/developers/sql-guide,53,24,2.2083333333333335,46.458333333333336,72,0,0
/fabric/logging,52,16,3.25,9.125,68,3,0
/release-notes/v4-tucker/4.6.13,52,15,3.466666666666667,6.733333333333333,64,0,0
/release-notes/v4-tucker/4.7.6,49,13,3.769230769230769,10.384615384615385,70,0,0
/release-notes/v4-tucker/4.5.28,47,13,3.6153846153846154,6.076923076923077,65,0,0
/docs/developers/security/certificate-verification,46,24,1.9166666666666667,24.541666666666668,89,8,0
/docs/reference/headers,46,27,1.7037037037037037,19.37037037037037,93,0,0
/fabric/grafana-integration,46,21,2.1904761904761907,8.904761904761905,68,1,0
/release-notes/v4-tucker/4.6.16,46,10,4.6,29.2,57,0,0
/release-notes/v4-tucker/4.6.17,46,14,3.2857142857142856,5.071428571428571,67,0,0
/docs/administration/harper-studio/create-account,45,27,1.6666666666666667,5.814814814814815,90,0,0
/docs/administration/logging/transaction-logging,45,22,2.0454545454545454,11.5,81,2,0
/docs/4.5/developers/operations-api/components,44,3,14.666666666666666,39.666666666666664,53,5,0
/docs/4.4,43,31,1.3870967741935485,4.387096774193548,124,1,0
/docs/4.5/deployments/configuration,43,10,4.3,50,67,0,0
/docs/4.5/developers/operations-api,43,8,5.375,29.5,52,0,0
/docs/4.6/reference/resources/instance-binding,43,2,21.5,300,58,0,0
/release-notes/v4-tucker/4.7.2,43,18,2.388888888888889,13.722222222222221,63,0,0
/learn/developers/coming-soon,42,21,2,23.047619047619047,48,0,0
/release-notes/v4-tucker/4.4.0,42,26,1.6153846153846154,9.384615384615385,112,3,0
/docs/4.2,41,37,1.1081081081081081,4.756756756756757,143,0,0
/docs/administration/harper-studio/login-password-reset,40,25,1.6,24.88,93,2,0
/release-notes/v4-tucker/4.5.27,40,8,5,29.125,46,0,0
/docs/4.6/reference/resources,39,6,6.5,34.166666666666664,47,0,0
/docs/reference/resources/,39,13,3,62.53846153846154,67,4,0
/release-notes/v4-tucker/4.6.12,39,14,2.7857142857142856,3.9285714285714284,53,0,0
/docs/4.6/developers/operations-api/clustering,38,2,19,169,43,0,0
/docs/4.3,37,26,1.4230769230769231,6.038461538461538,101,0,0
/docs/4.3/developers/applications,37,31,1.1935483870967742,6.645161290322581,118,0,0
/docs/4.6/reference,37,13,2.8461538461538463,3.5384615384615383,52,1,0
/release-notes/v4-tucker/4.3.0,37,28,1.3214285714285714,6.75,120,2,0
/release-notes/v4-tucker/4.4.5,37,33,1.121212121212121,1.4242424242424243,124,0,0
/docs/4.5/developers/operations-api/databases-and-tables,36,7,5.142857142857143,62.57142857142857,43,0,0
/docs/4.6/developers/operations-api/databases-and-tables,36,4,9,164.5,46,1,0
/release-notes/v2-penny,36,32,1.125,2.375,140,0,0
/release-notes/v4-tucker/4.0.0,36,33,1.0909090909090908,1.3333333333333333,127,0,0
/release-notes/v4-tucker/4.7.5,36,10,3.6,24,55,2,0
/docs/administration/harper-studio/instances,35,25,1.4,7.92,90,0,0
/release-notes/v2-penny/2.2.2,35,35,1,0.9142857142857143,148,0,0
/release-notes/v4-tucker/4.7.1,35,12,2.9166666666666665,16.916666666666668,41,1,0
/docs/4.3/developers/sql-guide/reserved-word,33,33,1,2.4242424242424243,132,0,0
/docs/administration/harper-studio/manage-databases-browse-data,33,24,1.375,5.583333333333333,79,2,0
/docs/deployments/harper-cloud/alarms,33,21,1.5714285714285714,30.80952380952381,71,0,0
/docs/developers/components,33,21,1.5714285714285714,2.5238095238095237,103,0,0
/release-notes/v4-tucker/4.1.0,33,29,1.1379310344827587,7.068965517241379,115,0,0
/docs/4.6/developers/operations-api/logs,32,4,8,37.5,37,1,0
/docs/developers/security/mtls-auth,32,22,1.4545454545454546,7.681818181818182,67,1,0
/docs/4.3/technical-details/reference,31,23,1.3478260869565217,3.391304347826087,109,0,0
/docs/4.3/technical-details/reference/architecture,31,23,1.3478260869565217,2.608695652173913,104,0,0
/docs/reference/clustering,31,18,1.7222222222222223,72.83333333333333,59,0,0
/release-notes/v4-tucker/4.3.10,31,29,1.0689655172413792,0.8620689655172413,117,0,0
/docs/4.3/technical-details/reference/analytics,30,23,1.3043478260869565,2.0434782608695654,98,0,0
/release-notes/v4-tucker/4.5.1,30,26,1.1538461538461537,3.1153846153846154,97,0,0
/docs/administration/harper-studio/manage-applications,29,22,1.3181818181818181,10,82,0,0
/docs/deployments/harper-cloud/verizon-5g-wavelength-instances,29,24,1.2083333333333333,3.4583333333333335,87,1,0
/release-notes/v4-tucker/4.2.8,29,26,1.1153846153846154,2.5,104,0,0
/release-notes/v4-tucker/4.5.26,29,10,2.9,33.4,38,0,0
/release-notes/v4-tucker/4.7.12,28,11,2.5454545454545454,5.2727272727272725,37,0,0
/docs/4.6/developers/applications,27,6,4.5,12.833333333333334,35,1,0
